Candidate,Party,Criminal Cases,Education,Age,Total Assets,Constituency,Liabilities,Winner,Gender,Asset_Category
Shri Bishnu Pada Ray,BJP,1,Graduate,59,1241034,Andaman & Nicobar Islands,0,0,M,10L-1Cr
Shri P. R. Ganeshan,RJD,0,Null,71,329563,Andaman & Nicobar Islands,0,0,M,1L-10L
Shri Pradeep Kumar Ekka,JDP,0,Others,37,410000,Andaman & Nicobar Islands,0,0,M,1L-10L
Shri Tapan Kumar Bepari,CPM,0,Post Graduate,52,3986000,Andaman & Nicobar Islands,0,0,M,10L-1Cr
Shri. Kuldeep Rai Sharma,INC,1,Graduate Professional,41,5409630,Andaman & Nicobar Islands,10374,0,M,10L-1Cr
Shri. M. S. Mohan,BSP,0,10th Pass,50,5452500,Andaman & Nicobar Islands,300000,0,M,10L-1Cr
Shri. N. K. P. Nair,CPI(ML)(L),0,10th Pass,54,1488456,Andaman & Nicobar Islands,62000,0,M,10L-1Cr
Smti. R. S. Uma Bharathy,NCP,1,Graduate,44,73000,Andaman & Nicobar Islands,0,0,M,<1L
Ramesh Rathod,TDP,2,12th Pass,43,3410000,Adilabad,815241,0,M,10L-1Cr
Ade Tukaram,BJP,0,10th Pass,55,865000,Adilabad,370000,0,M,1L-10L
Kotnak Ramesh,INC,0,12th Pass,39,2600000,Adilabad,0,0,M,10L-1Cr
Masram Nago Rao,PRAP,0,Post Graduate,59,350000,Adilabad,0,0,M,1L-10L
Rathod Sadashiv Naik,BSP,0,Graduate,50,1150000,Adilabad,0,0,M,10L-1Cr
G V Harsha Kumar,INC,1,Post Graduate,50,7289000,Amalapuram,1014298,0,M,10L-1Cr
Akumarthi Suryanarayana,Trilinga Praja Pragati Party,0,5th Pass,50,395000,Amalapuram,0,0,M,1L-10L
Bheemarao Ramji Muthabathula,PPOI,0,10th Pass,39,50000,Amalapuram,0,0,M,<1L
Doctor G Varalakshmi,TDP,0,Graduate Professional,51,10853316,Amalapuram,0,0,F,>1Cr
G Sampada Rao,BSP,0,Graduate Professional,39,20000,Amalapuram,0,0,M,<1L
K Uma Maheswara Rao,BJP,0,Graduate Professional,65,16079000,Amalapuram,0,0,M,>1Cr
Kiran Kumar Binepe,PBHP,0,Null,43,15887,Amalapuram,0,0,M,<1L
Masa Ramadasu,RDMP,0,Null,45,20000,Amalapuram,0,0,M,<1L
P V Chakravarthi,RPI(KH),0,Graduate Professional,54,200000,Amalapuram,0,0,M,1L-10L
Pothula Prameela Devi,PRAP,0,Graduate,55,550000,Amalapuram,0,0,F,1L-10L
Sabbam Hari,INC,0,12th Pass,55,85032286,Anakapalle,450000,1,M,>1Cr
Allu Aravind,PRAP,1,Graduate,62,452181969,Anakapalle,53958644,0,M,>1Cr
Bheemisetti Nageswararao,RJD,0,Post Graduate,41,1120500,Anakapalle,200000,0,M,10L-1Cr
Boyina Nageswara Rao,JD(U),0,5th Pass,52,500000,Anakapalle,380898,0,M,1L-10L
Kirla Appa Rao,BJP,0,Null,57,50000,Anakapalle,0,0,M,<1L
Nookarapu Surya Prakasa Rao,TDP,0,Graduate,50,119726600,Anakapalle,0,0,M,>1Cr
Pulamarasetti .Venkata Ramana,PPOI,0,Graduate,28,3500,Anakapalle,0,0,M,<1L
Venkata Ramana Babu Pilla,BSP,0,10th Pass,35,6046173,Anakapalle,1798837,0,M,10L-1Cr
Anantha Venkata Rami Reddy,INC,0,Post Graduate,52,13015000,Anantapur,0,1,M,>1Cr
Amarnath,LSP,0,Graduate,32,488500,Anantapur,0,0,M,1L-10L
Ambati Rama Krishna Reddy,BJP,0,Graduate Professional,41,25550000,Anantapur,251000,0,M,>1Cr
G Hari,PPOI,0,Post Graduate,30,80000,Anantapur,0,0,M,<1L
Gaddala Nagabhushanam,BSP,2,Post Graduate,48,575000,Anantapur,9000,0,M,1L-10L
Kalava Srinivasulu,TDP,0,Post Graduate,44,4205517,Anantapur,1950000,0,M,10L-1Cr
Krushnapuram Gayathri Devi,CPI(ML)(L),0,5th Pass,36,1057900,Anantapur,750000,0,F,10L-1Cr
Mansoor,PRAP,0,10th Pass,56,33790000,Anantapur,0,0,M,>1Cr
V. Kishore Chandra Deo,INC,0,Post Graduate,62,247410000,Araku,0,1,M,>1Cr
G Balayya Dora,RJD,0,Graduate,38,509264,Araku,0,0,M,1L-10L
Kurusa  Bojjaiah,BJP,0,10th Pass,56,1028805,Araku,0,0,M,10L-1Cr
Lake Raja Rao,BSP,0,12th Pass,50,350000,Araku,0,0,M,1L-10L
Meenaka Simhachalam,PRAP,0,Graduate,43,2029200,Araku,0,0,M,10L-1Cr
Midiyam Babu Rao,CPM,0,Graduate Professional,58,707000,Araku,0,0,M,1L-10L
Vadigala Pentayya,LSP,0,Graduate,56,1045000,Araku,780000,0,M,10L-1Cr
Panabaka Lakshmi,INC,0,Post Graduate,50,16635386,Bapatla,0,1,F,>1Cr
Battula Rosayya,BJP,0,Null,52,0,Bapatla,0,0,M,
Dara Sambaiah,BSP,0,Null,62,7170000,Bapatla,698162,0,M,10L-1Cr
Garikapati Sudhakar,RDMP,0,8th Pass,32,60000,Bapatla,0,0,M,<1L
Malyadri Sriram,TDP,0,Post Graduate,55,15870952,Bapatla,0,0,M,>1Cr
Nuthakki Rama Rao,PRAP,0,Post Graduate,61,32825159,Bapatla,0,0,M,>1Cr
Komatireddy Raj Gopal Reddy,INC,0,Graduate,41,194763618,Bhongir,6057899,1,M,>1Cr
Chintha Samba Murthy,BJP,0,Graduate,50,165000,Bhongir,0,0,M,1L-10L
Gandam Chandramouli,PRAP,0,Post Graduate,49,2700000,Bhongir,0,0,M,10L-1Cr
Nomula Narsimhaiah,CPM,3,Post Graduate,53,10247088,Bhongir,0,0,M,>1Cr
Palla Prabhakar Reddy,PPOI,0,Graduate,65,6600000,Bhongir,50000,0,M,10L-1Cr
Racha Subhadra Reddy,LSP,0,Graduate,59,2950000,Bhongir,150000,0,F,10L-1Cr
Siddhartha Pooley,BSP,0,Post Graduate,39,110000,Bhongir,0,0,M,1L-10L
Sudini Jaipal Reddy,INC,0,Post Graduate,67,56150333,Chevella,2042919,1,M,>1Cr
A.P.Jithender Reddy,TDP,1,Graduate,54,267668583,Chevella,3621000,0,M,>1Cr
Baddam Bal Reddy,BJP,1,12th Pass,64,6343740,Chevella,0,0,M,10L-1Cr
C. Srinivasa Rao,BSP,0,Post Graduate,39,1005000,Chevella,0,0,M,10L-1Cr
Dasari Sarala Devi,MCPI(S),1,Null,39,530000,Chevella,15000,0,M,1L-10L
Dr. Raghuveera Reddy,LSP,0,Graduate Professional,42,8150000,Chevella,700000,0,M,10L-1Cr
Kasani Gyaneshwar,MANP,0,8th Pass,54,455121661,Chevella,0,0,M,>1Cr
Kummari Giri,PPOI,0,Null,28,0,Chevella,0,0,M,
Sama Srinivasulu,GRIP,0,10th Pass,34,0,Chevella,0,0,M,
Naramalli Sivaprasad,TDP,0,Graduate Professional,57,6011000,Chittoor,0,1,M,10L-1Cr
A. Amarnadh,RKSP,0,Null,37,0,Chittoor,0,0,M,
B.Sivakumar,BJP,0,10th Pass,40,1549643,Chittoor,60000,0,M,10L-1Cr
G. Venkatachalam,LSP,0,Post Graduate,29,250000,Chittoor,115000,0,M,1L-10L
Jayaram Duggani,BSP,0,12th Pass,60,315000,Chittoor,0,0,M,1L-10L
Talari Manohar,PRAP,0,Post Graduate,54,4943512,Chittoor,2613277,0,M,10L-1Cr
Thippeswamy M,INC,1,Graduate Professional,55,4014000,Chittoor,500000,0,M,10L-1Cr
Kavuri Sambasiva Rao,INC,0,Graduate Professional,66,126050111,Eluru,945674,1,M,>1Cr
Kolusu Peda Reddaiah Yadav,PRAP,0,Graduate Professional,67,79364590,Eluru,190000,0,M,>1Cr
Maganti Venkateswara Rao(Babu),TDP,0,12th Pass,49,64298108,Eluru,1253750,0,M,>1Cr
Pillelli Sunil,BSP,0,Null,35,0,Eluru,0,0,M,
Savanapudi Nagaraju,MCPI(S),0,Null,48,600,Eluru,0,0,M,<1L
Siriki Srinivas,RDMP,0,Post Graduate,32,5000,Eluru,0,0,M,<1L
Y.V.S.V. Prasada Rao (Yerneni Prasada Rao),PPOI,0,Graduate,61,4315000,Eluru,373750,0,M,10L-1Cr
Sambasiva Rao Rayapati,INC,3,Graduate,65,147143582,Guntur,45204329,0,M,>1Cr
Amanulla Khan,LSP,0,Literate,37,90000,Guntur,0,0,M,<1L
Kommanaboina Lakshmaiah,RDHP,0,Null,39,222400,Guntur,0,0,M,1L-10L
Mallela Babu Rao,BSP,0,Post Graduate,61,15880237,Guntur,3133480,0,M,>1Cr
Srinivasa Rao Thotakura,Ajeya Bharat Party,0,Graduate Professional,34,0,Guntur,0,0,M,
Thota Chandra Sekhar,PRAP,0,Doctorate,47,39150000,Guntur,1500000,0,M,>1Cr
Velagapudi Lakshmana Rao,PPOI,0,10th Pass,59,17792174,Guntur,0,0,M,>1Cr
Yadlapati Swaruparani,BJP,0,Graduate,51,69021000,Guntur,1450000,0,F,>1Cr
Yarrakula Tulasi Ram Yadav,SP,0,Null,30,200000,Guntur,0,0,M,1L-10L
Kristappa Nimmala,TDP,0,Graduate,52,15917465,Hindupur,1216390,1,M,>1Cr
Kadapala Sreekantha Reddy,PRAP,0,Post Graduate,56,66073943,Hindupur,1484577,0,M,>1Cr
M Sreeramulu,BSP,0,Post Graduate,30,200000,Hindupur,0,0,M,1L-10L
Naresh Kumar,BJP,0,10th Pass,45,69665000,Hindupur,3600000,0,M,>1Cr
Niranjan Babu. K,LSP,0,Graduate Professional,30,20000,Hindupur,0,0,M,<1L
P Khasim Khan,INC,0,Graduate,53,5190960,Hindupur,2432826,0,M,10L-1Cr
S. Muskin Vali,PPOI,0,Null,26,50000,Hindupur,0,0,M,<1L
Asaduddin Owaisi,AIMIM,4,Graduate Professional,41,9302233,Hyderabad,0,0,M,10L-1Cr
A. Fatima,PRAP,0,Graduate Professional,41,37000,Hyderabad,0,0,F,<1L
D.Surender,TNPP,0,8th Pass,36,1055000,Hyderabad,0,0,M,10L-1Cr
P. Laxman Rao Goud,INC,0,12th Pass,55,18530669,Hyderabad,2000000,0,M,>1Cr
P.Venkateswara Rao,PPOI,0,Post Graduate,58,1978000,Hyderabad,600000,0,M,10L-1Cr
S. Gopal Singh,Akhil Bharatiya Jan Sangh,1,5th Pass,34,0,Hyderabad,0,0,M,
Samy Mohammed,BSP,0,Post Graduate,29,306000,Hyderabad,0,0,M,1L-10L
Satish Agarwal,BJP,0,Graduate,38,10695500,Hyderabad,4921846,0,M,>1Cr
Taher Kamal Khundmiri,JD(S),0,Null,52,10000,Hyderabad,0,0,M,<1L
Zahid Ali Khan,TDP,7,Graduate,66,96194429,Hyderabad,1144670,0,M,>1Cr
Y.S. Jagan Mohan Reddy,INC,0,Graduate,36,728151658,Kadapa,66396966,1,M,>1Cr
C Gopi Narasimha Reddy,JD(U),0,12th Pass,31,1356400,Kadapa,510000,0,M,10L-1Cr
Dr. Khaleel Basha,PRAP,0,Graduate Professional,60,1990356,Kadapa,310743,0,M,10L-1Cr
G Prasanna Kumar,LSP,0,Post Graduate,55,32454000,Kadapa,0,0,M,>1Cr
G Rama Subba Reddy,PPOI,0,Others,57,3950000,Kadapa,950000,0,M,10L-1Cr
J Muni Reddy,BSP,1,12th Pass,31,747000,Kadapa,0,0,M,1L-10L
K Chinnapa Reddy,Bharatiya Jan Shakti,0,10th Pass,41,346867,Kadapa,0,0,M,1L-10L
K Sainath Sarma,RDHP,2,12th Pass,38,268000,Kadapa,0,0,M,1L-10L
K Venkata Subba Reddy,RRS,0,5th Pass,42,2570000,Kadapa,0,0,M,10L-1Cr
N Kishore Kumar Reddy,JD(S),3,Others,32,1152000,Kadapa,400000,0,M,10L-1Cr
Palem Srikanth Reddy,TDP,0,Post Graduate,46,283709255,Kadapa,45000000,0,M,>1Cr
Vangala Shashi Bhushan Reddy,BJP,0,Others,38,164000,Kadapa,27000,0,M,1L-10L
Y Shekara Reddy,RPI(A),1,8th Pass,47,830000,Kadapa,50000,0,M,1L-10L
Vijaya Shanthi .M,TRS,0,10th Pass,43,271066905,KADAPA :BYE- ELECTION ON 08-05-2011,0,0,M,>1Cr
D.Yadeshwar,BSP(AP),0,Graduate,46,110000,KADAPA :BYE- ELECTION ON 08-05-2011,0,0,M,1L-10L
K. Sudheer Reddy,LSP,0,Post Graduate,37,3810013,KADAPA :BYE- ELECTION ON 08-05-2011,0,0,M,10L-1Cr
Khaja Quayum Anwar Md.,PRAP,0,Graduate Professional,45,5290000,KADAPA :BYE- ELECTION ON 08-05-2011,0,0,M,10L-1Cr
Kovuri Prabhakar,PPOI,0,Null,51,824000,KADAPA :BYE- ELECTION ON 08-05-2011,0,0,M,1L-10L
Narendranath Chaganla,INC,0,12th Pass,45,562290014,KADAPA :BYE- ELECTION ON 08-05-2011,8977996,0,M,>1Cr
P. Niroop Reddy,BJP,0,Post Graduate,50,22746000,KADAPA :BYE- ELECTION ON 08-05-2011,1490000,0,M,>1Cr
Y.Shankar Goud,BSP,0,Post Graduate,44,3336000,KADAPA :BYE- ELECTION ON 08-05-2011,0,0,M,10L-1Cr
M M Pallamraju,INC,0,Post Graduate,46,65589882,Kakinada,1112763,1,M,>1Cr
Aluri Vijaya Lakhsmi,LSP,0,Post Graduate,64,25098100,Kakinada,0,0,F,>1Cr
Bikkina Visweswara Rao,BJP,0,Graduate Professional,34,8740000,Kakinada,952000,0,M,10L-1Cr
Bugatha Bangarrao,CPI(ML)(L),7,10th Pass,48,230560,Kakinada,0,0,M,1L-10L
Chalamalasetty Sunil,PRAP,0,Post Graduate,39,109877965,Kakinada,0,0,M,>1Cr
Dommeti Sudhakar,BSP,0,Post Graduate,51,1060000,Kakinada,70000,0,M,10L-1Cr
Gali Satyavathi,RPI,0,Null,40,120000,Kakinada,0,0,F,1L-10L
Gidla Simhachalam,RDMP,0,Graduate Professional,50,0,Kakinada,0,0,M,
K Udaya Kumar,TNPP,1,Graduate Professional,36,430000,Kakinada,0,0,M,1L-10L
N Pallam Raju,Ajeya Bharat Party,0,Graduate,52,4325000,Kakinada,500000,0,M,10L-1Cr
Namala Satyanarayana,RDHP,0,Graduate Professional,45,560000,Kakinada,0,0,M,1L-10L
Vasamsetty Satya,TDP,0,Graduate,44,24485000,Kakinada,5500000,0,M,>1Cr
Ponnam Prabhakar,INC,0,Graduate Professional,41,1287000,Karimnagar,0,1,M,10L-1Cr
Ch. Janga Reddy,BJP,1,12th Pass,75,30128100,Karimnagar,18630,0,M,>1Cr
Lingampalli Srinivas Reddy,MCPI(S),0,10th Pass,39,75520,Karimnagar,0,0,M,<1L
Ragula Ramulu,RPI(A),0,5th Pass,41,1500000,Karimnagar,0,0,M,10L-1Cr
T. Srimannarayana,PPOI,0,12th Pass,68,2115000,Karimnagar,0,0,M,10L-1Cr
Velichala Rajendar Rao,PRAP,0,Post Graduate,46,22730000,Karimnagar,0,0,M,>1Cr
Vinod Kumar Boinapally,TRS,0,Graduate Professional,49,50776910,Karimnagar,118258,0,M,>1Cr
Viresham Nalimela,BSP,0,Graduate Professional,58,37880000,Karimnagar,1276000,0,M,>1Cr
Nama Nageswara Rao,TDP,0,12th Pass,50,1737508117,Khammam,0,1,M,>1Cr
Jalagam Hemamalini,PRAP,0,Graduate,40,1999000,Khammam,200000,0,F,10L-1Cr
Jupelli Satyanarayana,LSP,0,Post Graduate,62,1045000,Khammam,0,0,M,10L-1Cr
K. Ravinder,BJP,0,Graduate,45,2189000,Khammam,890000,0,M,10L-1Cr
M Raghuram Prasad,PPOI,0,Null,55,7280000,Khammam,24000,0,M,10L-1Cr
Renuka Chowdhury,INC,1,Post Graduate,54,381527458,Khammam,0,0,M,>1Cr
Shaik Mader Saheb,TNPP,2,10th Pass,40,0,Khammam,0,0,M,
T Venkateswar Rao,BSP,0,Graduate,47,762000,Khammam,65000,0,M,1L-10L
Kotla Jaya Surya Prakash Reddy,INC,0,Graduate,57,53719195,Kurnool,3034000,1,M,>1Cr
B.T.Naidu,TDP,0,Post Graduate,36,5545000,Kurnool,350000,0,M,10L-1Cr
Dr.Dandiya Khaja Peera,PRAP,0,Graduate Professional,55,9830500,Kurnool,400000,0,M,10L-1Cr
Ravi Subramanyam K.A.,BJP,0,Graduate Professional,39,3150000,Kurnool,0,0,M,10L-1Cr
Konakalla Narayana Rao,TDP,0,12th Pass,59,8616000,Machilipatnam,3787000,1,M,10L-1Cr
Bhogadi Ramadevi,BJP,0,Null,56,1986000,Machilipatnam,70000,0,F,10L-1Cr
C Rama Lingeswara Rao,BSP,0,Others,33,250000,Machilipatnam,0,0,M,1L-10L
C Ramachandriaiah,PRAP,1,Graduate,60,50157255,Machilipatnam,9540751,0,M,>1Cr
K Vara Lakhsmi,PPOI,0,Literate,59,2030000,Machilipatnam,0,0,M,10L-1Cr
Koppula Venkateswara Rao,LSP,0,Null,45,0,Machilipatnam,0,0,M,
Ramakrishna Badiga,INC,0,12th Pass,66,225047000,Machilipatnam,3627000,0,M,>1Cr
P. Balram,INC,0,Graduate,45,17195194,Mahabubabad,14122000,1,M,>1Cr
B. Dilip,BJP,0,Graduate,35,11545000,Mahabubabad,8102375,0,M,>1Cr
Banoth Molchand,LSP,0,12th Pass,60,1010000,Mahabubabad,0,0,M,10L-1Cr
D.T. Naik,PRAP,0,Graduate Professional,61,61928000,Mahabubabad,20000000,0,M,>1Cr
Gummadi Pullaiah,BSP,0,Graduate,58,400000,Mahabubabad,0,0,M,1L-10L
Kunja Srinivasa Rao,CPI,1,Graduate,32,310500,Mahabubabad,50000,0,M,1L-10L
Podem Sammaiah,PPOI,0,Post Graduate,31,10000,Mahabubabad,0,0,M,<1L
K. Chandrasekhara Rao,TRS,2,Graduate,55,22669420,Mahbubnagar,0,0,M,>1Cr
Abdul Kareem Khaja Mohammad,LSP,0,Graduate,50,0,Mahbubnagar,0,0,M,
Asirvadam,GRIP,0,Post Graduate,35,0,Mahbubnagar,0,0,M,
B. Balraju Goud,MANP,0,10th Pass,44,97743082,Mahbubnagar,39780111,0,M,>1Cr
G.Vijayalaxmi,PPOI,0,Null,61,105000,Mahbubnagar,0,0,F,1L-10L
K Yadagiri Reddy,BJP,4,Graduate,51,4100000,Mahbubnagar,0,0,M,10L-1Cr
K.Venkatesh,TNPP,0,Graduate,37,250000,Mahbubnagar,100000,0,M,1L-10L
Muniswamy C.R,Samajwadi Janata Party (Rashtriya),0,Null,32,0,Mahbubnagar,0,0,M,
Palem Sudharshan Goud,BSP,0,Null,41,120000,Mahbubnagar,0,0,M,1L-10L
Vittal Rao D,INC,1,Graduate,57,60409958,Mahbubnagar,4500000,0,M,>1Cr
Sarvey Satyanarayana,INC,1,Graduate Professional,54,10112521,Malkajgiri,116848,0,M,>1Cr
Bheem Sen,TDP,0,Graduate Professional,60,2856116,Malkajgiri,0,0,M,10L-1Cr
C Francis Mjf,SP,0,Graduate,57,60000,Malkajgiri,0,0,M,<1L
Dr.Lavu Rathaiah,LSP,1,Doctorate,56,155460261,Malkajgiri,57975695,0,M,>1Cr
Indrasena Reddy,BJP,0,Post Graduate,56,24115000,Malkajgiri,235000,0,M,>1Cr
M Babu Rao,BSP,2,12th Pass,52,14100000,Malkajgiri,1115000,0,M,>1Cr
N V Rama Reddy,PPOI,0,10th Pass,54,36650006,Malkajgiri,96384,0,M,>1Cr
Narendar Kumbala,BPD,0,Post Graduate,39,120000,Malkajgiri,0,0,M,1L-10L
P Ramakrishna,RKSP,0,Null,42,0,Malkajgiri,2100000,0,M,
S D Krishnamurthy,TNPP,0,Post Graduate,51,1430000,Malkajgiri,0,0,M,10L-1Cr
Thulla Devender Goud,PRAP,0,Graduate,56,352257953,Malkajgiri,0,0,M,>1Cr
Vijaya Shanthi .M,TRS,0,10th Pass,43,271066905,Medak,0,1,F,>1Cr
D.Yadeshwar,BSP(AP),0,Graduate,46,110000,Medak,0,0,M,1L-10L
K. Sudheer Reddy,LSP,0,Post Graduate,37,3810013,Medak,0,0,M,10L-1Cr
Khaja Quayum Anwar Md.,PRAP,0,Graduate Professional,45,5290000,Medak,0,0,M,10L-1Cr
Kovuri Prabhakar,PPOI,0,Null,51,824000,Medak,0,0,M,1L-10L
Narendranath Chaganla,INC,0,12th Pass,45,562290014,Medak,8977996,0,M,>1Cr
P. Niroop Reddy,BJP,0,Post Graduate,50,22746000,Medak,1490000,0,M,>1Cr
Y.Shankar Goud,BSP,0,Post Graduate,44,3336000,Medak,0,0,M,10L-1Cr
Dr. Manda Jagannath,INC,0,Post Graduate,57,28126000,Nagarkurnool,3123000,1,M,>1Cr
Devani Satyanarayana,PRAP,3,Null,38,395000,Nagarkurnool,200000,0,M,1L-10L
G. Vidyasagar,LSP,0,Graduate,60,1011000,Nagarkurnool,0,0,M,10L-1Cr
Guvvala Balaraj,TRS,0,Graduate Professional,31,22769600,Nagarkurnool,9560000,0,M,>1Cr
T. Ratnakar,BJP,0,Doctorate,50,2608046,Nagarkurnool,0,0,M,10L-1Cr
Tangirala Paramjyothi,BSP,0,Post Graduate,50,6650000,Nagarkurnool,3000000,0,M,10L-1Cr
Gutha Sukender Reddy,INC,0,12th Pass,55,16040830,Nalgonda,16662997,1,M,>1Cr
A. Nageshwar Rao,PPOI,0,Null,59,1043501,Nalgonda,0,0,M,10L-1Cr
Nazeeruddin,BSP,0,Graduate,50,476517,Nalgonda,0,0,M,1L-10L
P. Karuna,PRAP,2,Graduate,52,11891555,Nalgonda,4271877,0,M,>1Cr
Suravaram Sudhakar Reddy,CPI,0,Graduate Professional,67,3724417,Nalgonda,429800,0,M,10L-1Cr
Vedire Sreeram,BJP,0,Post Graduate,39,6365250,Nalgonda,25207,0,M,10L-1Cr
S.P.Y.Reddy,INC,1,Graduate Professional,59,92821000,Nandyal,0,0,M,>1Cr
Abdul Sattar . G,B. C. United Front,0,10th Pass,26,600000,Nandyal,0,0,M,1L-10L
Bhuma Venkata Nagi Reddy,PRAP,0,12th Pass,45,68271000,Nandyal,7465000,0,M,>1Cr
Nasyam Mohammed Farook,TDP,0,10th Pass,57,29170000,Nandyal,0,0,M,>1Cr
Pichhike Narendra Dev,RKSP,0,10th Pass,39,28000,Nandyal,0,0,M,<1L
Rama Jagannadha Reddy Tamidela,LSP,0,Null,34,785000,Nandyal,0,0,M,1L-10L
S.Mohammed Ismail,BSP,0,12th Pass,39,395000,Nandyal,0,0,M,1L-10L
Sadhu Veera Venkata Ramanaiah,RDMP,0,12th Pass,35,807000,Nandyal,0,0,M,1L-10L
Venugopala Reddy Modugula,TDP,2,Graduate Professional,42,27493309,Narasaraopet,51964,0,M,>1Cr
Balashowry Vallabhaneni,INC,0,Graduate,42,1219428113,Narasaraopet,9984,0,M,>1Cr
Bejjam Ratnakara Rao,BSP,0,Graduate,48,1666568,Narasaraopet,0,0,M,10L-1Cr
Ganugapenta Uttama Reddy,LSP,0,Graduate,30,182000,Narasaraopet,0,0,M,1L-10L
Ramadugu Venkata Subba Rao,SP,0,Graduate,45,5580000,Narasaraopet,6200000,0,M,10L-1Cr
S.G. Mastan Vali,PPOI,0,Null,31,10000,Narasaraopet,0,0,M,<1L
Shaik Syed Saheb,PRAP,0,Graduate,67,16125000,Narasaraopet,5500000,0,M,>1Cr
Vallepu Krupa Rao,BJP,0,8th Pass,51,2576000,Narasaraopet,0,0,M,10L-1Cr
Bapiraju Kanumuru,INC,0,10th Pass,61,30574013,Narsapuram,3812438,1,M,>1Cr
Alluri Yugandhara Raju,PPOI,0,Post Graduate,44,1685000,Narsapuram,0,0,M,10L-1Cr
Bhupathiraju Srinivasa Varma,BJP,0,Post Graduate,41,2514050,Narsapuram,0,0,M,10L-1Cr
Gubbala Tammaiah,PRAP,0,Doctorate,61,5869653,Narsapuram,825248,0,M,10L-1Cr
Kalidindi Viswanadha Raju,BSP,0,12th Pass,39,9577900,Narsapuram,2785000,0,M,10L-1Cr
M V R Raju,RDMP,0,10th Pass,35,15000,Narsapuram,0,0,M,<1L
Manorama Sanku,LSP,0,Post Graduate,62,8972000,Narsapuram,0,0,F,10L-1Cr
Navundru Rajendra Prasad,BSSP,0,10th Pass,44,799500,Narsapuram,0,0,M,1L-10L
M Rajamohan Reddy,INC,0,Graduate Professional,59,363462696,Nellore,0,1,M,>1Cr
Bathina Narasimha Rao,BJP,0,Null,65,11187000,Nellore,1500000,0,M,>1Cr
Jana Ramachandraiah,PRAP,0,Graduate Professional,56,148473064,Nellore,54864453,0,M,>1Cr
S Padma Nageswara Rao,BSP,0,Null,59,2750000,Nellore,0,0,M,10L-1Cr
S Satyanarayana,PPOI,0,Graduate,41,0,Nellore,0,0,M,
V Venu Gopala Reddy,TDP,0,Post Graduate,59,40291993,Nellore,0,0,M,>1Cr
Vemuri Bhaskara Rao,LSP,0,Graduate Professional,36,4330000,Nellore,591000,0,M,10L-1Cr
Madhu Yaskhi Goud,INC,0,Post Graduate,50,119108338,NELLORE :BYE ELECTION ON 12-06-2012,15422084,0,M,>1Cr
Bigala Ganesh,TRS,0,Graduate Professional,39,38799851,NELLORE :BYE ELECTION ON 12-06-2012,422292,0,M,>1Cr
D.S.R. Chaudary,LSP,0,Null,52,12355847,NELLORE :BYE ELECTION ON 12-06-2012,2496889,0,M,>1Cr
Jala Bapu Reddy,BJP,0,Post Graduate,59,7089760,NELLORE :BYE ELECTION ON 12-06-2012,0,0,M,10L-1Cr
P. Vinay Kumar,PRAP,0,Post Graduate,51,183208378,NELLORE :BYE ELECTION ON 12-06-2012,68550,0,M,>1Cr
S Sujatha,Trilinga Praja Pragati Party,0,Null,43,0,NELLORE :BYE ELECTION ON 12-06-2012,4000,0,M,
V Sathyanarayana Murthy,PPOI,0,Doctorate,51,9435000,NELLORE :BYE ELECTION ON 12-06-2012,762315,0,M,10L-1Cr
Y Ramulu,BSP,0,Graduate,53,0,NELLORE :BYE ELECTION ON 12-06-2012,0,0,M,
Madhu Yaskhi Goud,INC,0,Post Graduate,50,119108338,Nizamabad,15422084,1,M,>1Cr
Bigala Ganesh,TRS,0,Graduate Professional,39,38799851,Nizamabad,422292,0,M,>1Cr
D.S.R. Chaudary,LSP,0,Null,52,12355847,Nizamabad,2496889,0,M,>1Cr
Jala Bapu Reddy,BJP,0,Post Graduate,59,7089760,Nizamabad,0,0,M,10L-1Cr
P. Vinay Kumar,PRAP,0,Post Graduate,51,183208378,Nizamabad,68550,0,M,>1Cr
S Sujatha,Trilinga Praja Pragati Party,0,Null,43,0,Nizamabad,4000,0,F,
V Sathyanarayana Murthy,PPOI,0,Doctorate,51,9435000,Nizamabad,762315,0,M,10L-1Cr
Y Ramulu,BSP,0,Graduate,53,0,Nizamabad,0,0,M,
Magunta Srinivasulu Reddy,INC,0,Graduate,55,102065901,Ongole,0,1,M,>1Cr
Chaluvadi Srinivasarao,PPOI,0,10th Pass,38,60000,Ongole,0,0,M,<1L
Madduluri Malakondaiah Yadav,TDP,0,Graduate,47,90741921,Ongole,8347977,0,M,>1Cr
Mandava Vasudeva,BJP,0,12th Pass,56,272711,Ongole,185460,0,M,1L-10L
Pidathala Sai Kalpana,PRAP,0,12th Pass,50,10472574,Ongole,0,0,M,>1Cr
Dr. G. Vivekanand,INC,0,Graduate Professional,51,729509675,Peddapalle,0,1,M,>1Cr
A. David Raju,PRAP,1,10th Pass,36,1460000,Peddapalle,0,0,M,10L-1Cr
Domasa Srinivas,TRS,2,12th Pass,41,4179400,Peddapalle,1950000,0,M,10L-1Cr
Gajjela Swamy,BSP,0,10th Pass,49,1574000,Peddapalle,0,0,M,10L-1Cr
Krishna Sabbali,MCPI(S),0,Null,39,0,Peddapalle,30000,0,M,
Mathangi Narsaiah,BJP,0,Post Graduate,63,8914000,Peddapalle,7000,0,M,10L-1Cr
V Arun Kumar,INC,2,Graduate Professional,53,13073077,Rajahmundry,979680,0,M,>1Cr
